"ID";"FLASHSCORE_ID";"NAME";"COUNTRY";"IMAGE"
"32361";"6F0lvLNC";"Мидлсбро";"Англия";"6F0lvLNC.png"
"32362";"SlybbadF";"Лутон Таун";"Англия";"SlybbadF.png"
"32363";"S66R0t75";"Халл";"Англия";"S66R0t75.png"
"32365";"lrMHUHDc";"КПР";"Англия";"lrMHUHDc.png"
"32366";"UsushcZr";"Ноттингем Форест";"Англия";"UsushcZr.png"
"32367";"UNGEKMx6";"Барнсли";"Англия";"UNGEKMx6.png"
"32368";"EmlVDpVP";"Рединг";"Англия";"EmlVDpVP.png"
"32369";"6Nl8nagD";"Блэкберн";"Англия";"6Nl8nagD.png"
"32370";"MgHlK2Na";"Уиган";"Англия";"MgHlK2Na.png"
"32371";"fXf5mQ7t";"Чарльтон";"Англия";"fXf5mQ7t.png"
"32373";"69ZiU2Om";"Фулхэм";"Англия";"69ZiU2Om.png"
"32375";"Or1bBrWD";"Болтон";"Англия";"Or1bBrWD.png"
"32376";"WSzc94ws";"Сандерленд";"Англия";"WSzc94ws.png"
"32378";"thqhB2MB";"Ипсвич Таун";"Англия";"thqhB2MB.png"
"32380";"hrHTRs5B";"Линкольн";"Англия";"hrHTRs5B.png"
"32381";"vgOBT43c";"Оксфорд Юнайтед";"Англия";"vgOBT43c.png"
"32383";"tGwiyvJ1";"Саутенд Юнайтед";"Англия";"tGwiyvJ1.png"
"32384";"KMfM7P4b";"Ротерхэм";"Англия";"KMfM7P4b.png"
"32387";"nwCtJaJT";"Бертон Альбион";"Англия";"nwCtJaJT.png"
"32388";"zckREQFJ";"Портсмут";"Англия";"zckREQFJ.png"
"32389";"GILi6JC9";"Бристоль Роверс";"Англия";"GILi6JC9.png"
"32390";"tCZ3D68d";"Флитвуд";"Англия";"tCZ3D68d.png"
"32391";"bsc3EJ27";"Бредфорд Сити";"Англия";"bsc3EJ27.png"
"32392";"OEaiS3za";"Гримсби";"Англия";"OEaiS3za.png"
"32393";"WYFXQ1KH";"Маклсфилд";"Англия";"WYFXQ1KH.png"
"32395";"xYu73rNn";"Колчестер Юнайтед";"Англия";"xYu73rNn.png"
"32397";"l4P6dwRR";"Нортхэмптон";"Англия";"l4P6dwRR.png"
"32398";"QVmLl54o";"Кроули Таун";"Англия";"QVmLl54o.png"
"32399";"ve14a3l4";"Эксетер Сити";"Англия";"ve14a3l4.png"
"32400";"zmKRcPKu";"Моркам";"Англия";"zmKRcPKu.png"
"32403";"r5LLTyT3";"Сканторп Юнайтед";"Англия";"r5LLTyT3.png"
"32404";"ANwyQM2M";"Стивенейдж";"Англия";"ANwyQM2M.png"
"32406";"Opdcd08Q";"Бромли";"Англия";"Opdcd08Q.png"
"32407";"4KcaFam1";"Барнет";"Англия";"4KcaFam1.png"
"32408";"CQv5qrFt";"Харрогейт";"Англия";"CQv5qrFt.png"
"32409";"8OOOiMps";"Саттон Юнайтед";"Англия";"8OOOiMps.png"
"32412";"0fDQqNuj";"Уокинг";"Англия";"0fDQqNuj.png"
"32413";"KKJL7QXd";"Барроу";"Англия";"KKJL7QXd.png"
"32414";"IafLwncR";"Атертон Коллирис";"Англия";"IafLwncR.png"
"32415";"Sbrdd1Mk";"Грэнтхэм";"Англия";"Sbrdd1Mk.png"
"32416";"tlKCXzXB";"Бэсфорд";"Англия";"tlKCXzXB.png"
"32417";"j7WKjtqI";"Нюнеатон";"Англия";"j7WKjtqI.png"
"32418";"zmUhoU4i";"Йейт Таун";"Англия";"zmUhoU4i.png"
"32419";"xfKoldHh";"Брайтлингси";"Англия";"xfKoldHh.png"
"32420";"zVVgkfPa";"Balham";"Англия";"zVVgkfPa.png"
"32421";"fRf75xoR";"Питерборо Спортс";"Англия";"fRf75xoR.png"
"32422";"IBuJrMit";"Синдерфорд";"Англия";"IBuJrMit.png"
"32423";"U3vBByDl";"Пул Таун";"Англия";"U3vBByDl.png"
"32424";"QRKr44sR";"Portland United";"Англия";"QRKr44sR.png"
"32425";"A9VIIvUL";"Хайуорт";"Англия";"A9VIIvUL.png"
"32426";"Myjs3vp6";"Алфретон";"Англия";"Myjs3vp6.png"
"32427";"ri2JbWLB";"Бакстон";"Англия";"ri2JbWLB.png"
"32428";"880maLxB";"Белпер";"Англия";"880maLxB.png"
"32431";"MaqO7xYg";"Базилдон";"Англия";"MaqO7xYg.png"
"32432";"YNskhvWm";"Дорчестер";"Англия";"YNskhvWm.png"
"32433";"0SCEaC65";"Брэдфорд Парк Авеню";"Англия";"0SCEaC65.png"
"32434";"d2vIdDRk";"Гейтсхэд";"Англия";"d2vIdDRk.png"
"32435";"EJNGjPu5";"Рамсботтом Юнайтед";"Англия";"EJNGjPu5.png"
"32436";"bVfjs0E5";"Кеттеринг";"Англия";"bVfjs0E5.png"
"32437";"UZCe41Bj";"Киддерминстер";"Англия";"UZCe41Bj.png"
"32439";"UopPSUlp";"Славия София";"Болгария";"UopPSUlp.png"
"32440";"E5OOzgs4";"Левски";"Болгария";"E5OOzgs4.png"
"32442";"zof0uk4j";"Спартак";"Болгария";"zof0uk4j.png"
"32444";"Ee3kfcg0";"Спартак Плевен";"Болгария";"Ee3kfcg0.png"
"32445";"AeyMopG5";"Поморье";"Болгария";"AeyMopG5.png"
"32446";"l0TyfyGr";"Ботев Галабово";"Болгария";"l0TyfyGr.png"
"32447";"Svl4CzxR";"Струмска Слава";"Болгария";"Svl4CzxR.png"
"32448";"O6WfP8iT";"Tuzla City";"Босния и Герцеговина";"O6WfP8iT.png"
"32449";"rLoPsQHs";"Младость ДК";"Босния и Герцеговина";"rLoPsQHs.png"
"32450";"6Todlkcf";"Слобода Тузла";"Босния и Герцеговина";"6Todlkcf.png"
